rental_id,temperature_c,humidity_pct,wind_speed_mps,distance_km,ride_duration_min,bike_age_months,late_return,avg_speed_kmh,speed_outlier,bad_weather,station_zone_공원,station_zone_대학가,station_zone_도심,station_zone_주거,member_type_미상,member_type_연회원,member_type_월회원,member_type_일일권,weather_맑음,weather_미상,weather_비,weather_흐림
R0001,1.4082966094578726,0.9612112878990348,1.7086567397594241,-0.027365182141488215,-0.1623210103757559,0.522602249999374,0,0.017768092250578883,0,1,True,False,False,False,False,False,False,True,False,False,True,False
R0002,0.07300031082691225,0.8005989389464242,0.9890341248846158,-0.5831870235946566,-0.496396092661236,0.9852855727923309,0,-0.24979877705500572,0,0,False,False,True,False,False,False,True,False,False,False,False,True
R0003,-0.057272498795620595,-0.42407022181722753,-1.6016072886646944,-0.5549931620716697,-0.4700217440597508,0.8002122436751481,0,-0.23421710373440519,0,0,True,False,False,False,False,False,False,True,True,False,False,False
R0004,0.9360576745761917,0.9812878315181108,-0.8819846737898859,0.5002627977886933,0.22889849387960887,-0.12515440191076557,0,0.08247933926890266,0,0,True,False,False,False,False,True,False,False,False,False,False,True
R0005,-1.6042621130631967,-1.093288342453103,-1.7455318116396559,-0.23277760180896354,-0.2106739828118123,1.8181155538196532,0,-0.10314931247347252,0,0,True,False,False,False,False,False,True,False,True,False,False,False
R0006,0.9686258769818248,1.8311948447256727,2.2843548316592717,0.11561797272508767,0.41791465885692,-0.21769106646935696,1,-0.17123664333671626,0,1,False,False,False,True,False,False,True,False,False,False,True,False
R0007,0.5452392457085932,0.01761373780245033,0.7011850789346928,-0.3133314918746401,-0.3073799276839249,0.4300655854407826,0,-0.10520408523058407,0,0,False,False,True,False,False,False,True,False,True,False,False,False
R0008,-1.4902734046434807,1.570199777677681,1.4208076938095013,-0.13812678098179354,-0.24583978094712602,0.2449922563235999,1,-0.003459819974156839,0,1,False,True,False,False,False,False,False,True,False,False,True,False
R0009,-1.5391257082519303,1.3694343414869183,0.6292228174472115,-0.14215447548507737,0.1585668976089814,0.2449922563235999,0,-0.21179851488687268,0,1,False,False,False,True,False,True,False,False,False,False,True,False
R0010,0.007863906015645536,0.04438246262788525,-1.24179598122729,-0.26097146333195026,-0.39969014778912343,-0.032617737352174214,0,0.02462366129000055,0,0,False,True,False,False,False,True,False,False,False,False,False,True
R0011,-1.701966720280096,-1.3342068658820176,1.4927699552969818,-0.3717330621722556,-0.1623210103757559,-0.7729110538209052,0,-0.23262657499509515,0,0,False,False,False,True,False,False,True,False,True,False,False,False
