batch_id,shift,quality_issue,fruit_weight_g,humidity_pct,nutrient_ec,soil_moisture_pct,sugar_brix,temperature_c,worker_experience_years,sensor_range_error,temperature_outlier,ec_outlier,weight_outlier,moisture_gap,temp_humidity_index,weight_sugar_score,greenhouse_zone_A동,greenhouse_zone_B동,greenhouse_zone_C동,greenhouse_zone_D동,irrigation_method_미상,irrigation_method_분무,irrigation_method_수경,irrigation_method_점적
B0001,1,0,-0.9131355543908433,0.2196683403998783,-0.19165983488160168,0.14416814534073635,0.9646002738022507,1.312213929850182,-0.47228582377522893,0,0,0,0,-1.0395113478217415,1.131400290796106,-0.524756276631272,1,0,0,0,0,1,0,0
B0002,1,0,-0.2425357248800178,-1.5143249379725812,-1.1856318652938491,0.7635597058410439,-0.08967556710770115,0.6299348851687937,-1.4697534835885127,0,0,0,0,-0.07529807163850764,-0.5498624296800487,-0.2522631546501428,0,0,0,1,0,0,0,1
B0003,1,0,0.5803400484498593,-0.7406971676217906,0.007134571200847572,0.03427609428423079,1.5795945143330572,0.3050401019871805,0.026448006131412915,0,0,0,0,-1.1794777911386634,-0.2536238416800828,1.1758301086234926,0,1,0,0,0,0,1,0
B0004,1,0,-0.3216020803245261,0.07294583222990161,0.2240011960180654,0.5637559766473964,0.24417844918044956,-0.5396863342850132,1.7720164108046594,0,0,0,0,-0.3863346123427765,-0.36204675066492187,-0.20552886665170955,0,0,0,1,0,0,0,1
B0005,1,0,0.4427060223057165,0.03293060272899906,-0.28202092855544286,1.3429905205026214,-0.44110084741101896,0.3375295803053423,-1.2203865686351918,0,0,0,0,0.8267078964038715,0.26912577107585967,0.2165771016105682,0,1,0,0,0,0,0,1
B0006,1,0,0.3255706809064457,-1.767754724811633,0.4770122583048195,-0.36533136410306494,0.5780324654686019,-1.384412770557208,-0.7216527387285498,0,0,0,0,-0.5574047097301246,-1.933195150968636,0.5200673805286194,0,0,1,0,0,0,1,0
B0007,0,1,-0.28938986143972595,-0.20716077427641816,0.8023121955306455,1.7026372330511863,-1.2669502561238146,-0.31225998605788413,1.0239156659446966,0,0,0,0,1.3865736696715545,-0.3584222981200608,-0.7103685442236051,1,0,0,0,0,0,1,0
B0008,1,0,-0.4650928735386321,-0.540621020117276,0.07942344613992018,-5.540247950218535,-1.2318077280934836,0.6299348851687937,1.2732825808980175,0,0,0,0,7.498441694510438,0.10278065856457591,-0.8404127377948714,1,0,0,0,0,0,0,1
B0009,0,0,0.12351221699270343,-0.20716077427641816,-0.7157541781898776,-0.5251743474579831,-0.5465284315020135,0.6624243634869555,-0.47228582377522893,0,0,0,0,-0.30857547716670924,0.34989928493276096,-0.10063178642780242,1,0,0,0,0,1,0,0
B0010,0,0,0.07665808043299528,1.0866649795861085,-0.24587649108590653,-0.37532155056274746,-0.21267441521386277,-0.44221789933052896,0.026448006131412915,0,0,0,0,-0.5418528826949109,0.3038514783151939,-0.014143626307566267,0,0,1,0,0,1,0,0
