호선,역사,승강장,대합실_기능실,역무자동설비,편의설비,기타
1,다대포해수욕장,10,24,5,39,3
1,다대포항,14,12,6,43,2
1,낫개,18,18,6,37,2
1,신장림,14,9,5,32,0
1,장림,10,9,6,31,2
1,동매,10,12,6,45,0
1,신평,10,9,7,13,511
1,하단,10,16,5,21,0
1,당리,10,6,5,17,0
1,사하,10,12,5,12,0
1,괴정,10,11,6,17,0
1,대티,18,17,4,26,0
1,서대신,10,15,5,22,3
1,동대신,10,12,5,14,0
1,토성,10,13,7,12,0
1,자갈치,10,21,7,21,0
1,남포,19,19,6,24,0
1,중앙,10,20,7,17,2
1,부산역,10,16,7,20,0
1,초량,10,18,8,12,0
1,부산진,10,12,5,13,5
1,좌천,10,11,5,13,0
1,범일,10,14,6,13,0
1,범내골,10,15,7,21,2
1,서면,18,19,9,26,0
1,부전,10,15,9,12,0
1,양정,10,12,8,22,0
1,시청,10,13,6,17,0
1,연산,18,45,8,19,2
1,교대,18,28,8,17,0
1,동래,10,14,6,10,0
1,명륜,10,13,8,3,0
1,온천장,10,11,12,3,0
1,부산대,18,9,7,6,0
1,장전,18,11,6,6,2
1,구서,10,9,6,8,0
1,두실,11,11,5,14,0
1,남산,10,11,5,14,0
1,범어사,10,11,6,16,1
1,노포,10,6,7,8,628
2,장산,14,6,7,9,4
2,중동,8,9,8,21,0
2,해운대,14,8,6,13,0
2,동백,8,13,7,12,1
2,벡스코,8,9,11,27,0
2,센텀시티,10,19,11,37,4
2,민락,8,11,5,16,4
2,수영,14,16,9,29,0
2,광안,8,20,7,23,3
2,금련산,8,9,7,23,0
2,남천,8,8,7,22,0
2,경성대부경대,15,11,7,18,0
2,대연,8,11,4,25,0
2,못골,8,6,3,17,0
2,지게골,8,5,5,20,0
2,문현,14,7,6,16,0
2,문전,8,8,3,14,0
2,국제금융센터부산은행,8,8,5,21,2
2,서면,16,18,10,41,0
2,부암,8,12,9,18,0
2,가야,8,4,5,19,0
2,동의대,8,7,5,22,0
2,개금,14,6,7,21,0
2,냉정,8,12,7,15,0
2,주례,8,12,7,12,0
2,감전,8,5,5,12,0
2,사상,15,9,6,28,0
2,덕포,8,9,7,12,0
2,모덕,8,6,5,11,0
2,모라,8,6,7,12,0
2,구남,8,8,4,16,0
2,구명,8,14,5,16,1
2,덕천,14,13,6,8,0
2,수정,8,12,3,24,0
2,화명,14,9,7,18,0
2,율리,8,12,5,12,0
2,동원,8,4,3,6,0
2,금곡,8,5,10,6,0
2,호포,8,13,2,8,"1,349"
2,증산,8,5,7,10,0
2,부산대양산C,10,10,4,17,0
2,남양산,8,6,6,18,0
2,양산,8,9,6,18,3
3,수영,6,0,0,5,5
3,망미,6,23,6,31,0
3,배산,6,17,7,44,0
3,물만골,6,9,3,23,0
3,연산,7,12,7,38,1
3,거제,6,9,7,24,0
3,종합운동장,6,9,6,22,0
3,사직,6,8,5,14,0
3,미남,6,11,6,11,3
3,만덕,6,24,7,40,0
3,남산정,6,9,9,13,0
3,숙등,6,9,7,18,0
3,덕천,6,9,6,30,2
3,구포,6,7,6,15,3
3,강서구청,6,10,7,16,0
3,체육공원,6,13,6,15,0
3,대저,6,10,5,10,3
3,대저기지,0,2,0,0,370
4,미남,4,5,0,25,2
4,동래,4,13,5,46,0
4,수안,4,10,3,33,0
4,낙민,4,9,3,21,0
4,충렬사,4,10,3,30,0
4,명장,4,9,3,30,0
4,서동,4,9,3,30,0
4,금사,4,10,3,23,3
4,반여농산물시장,4,10,6,15,6
4,석대,4,8,2,7,1
4,영산대,4,11,3,17,0
4,동부산대학,4,8,3,17,0
4,고촌,4,8,3,15,0
4,안평,4,8,3,15,2
4,안평기지,6,5,2,0,273
